"SUBJECT","Subject","LOCATION","Country","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1988-05","May-1988","PC","Percentage","0","Units",,,7.4518987,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1988-06","Jun-1988","PC","Percentage","0","Units",,,7.5694368,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1988-07","Jul-1988","PC","Percentage","0","Units",,,6.7616465,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1988-08","Aug-1988","PC","Percentage","0","Units",,,7.0693165,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1988-09","Sep-1988","PC","Percentage","0","Units",,,6.9350053,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1988-10","Oct-1988","PC","Percentage","0","Units",,,6.8180725,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1988-11","Nov-1988","PC","Percentage","0","Units",,,6.6132411,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1988-12","Dec-1988","PC","Percentage","0","Units",,,6.8327119,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1989-01","Jan-1989","PC","Percentage","0","Units",,,6.8082068,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1989-02","Feb-1989","PC","Percentage","0","Units",,,6.6382012,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1989-03","Mar-1989","PC","Percentage","0","Units",,,6.3401105,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1989-04","Apr-1989","PC","Percentage","0","Units",,,6.2009135,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1989-05","May-1989","PC","Percentage","0","Units",,,6.2803135,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1989-06","Jun-1989","PC","Percentage","0","Units",,,6.0127579,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1989-07","Jul-1989","PC","Percentage","0","Units",,,6.0478088,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1989-08","Aug-1989","PC","Percentage","0","Units",,,5.9447901,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1989-09","Sep-1989","PC","Percentage","0","Units",,,6.0316281,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1989-10","Oct-1989","PC","Percentage","0","Units",,,5.9243645,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1989-11","Nov-1989","PC","Percentage","0","Units",,,5.7871293,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1989-12","Dec-1989","PC","Percentage","0","Units",,,5.848139,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1990-01","Jan-1990","PC","Percentage","0","Units",,,6.1133593,,
